sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F207,Run 1,4,FERA,Yes,41.20,63671,N,0,0.0,No,No
F208,Run 1,4,FERA,Yes,8.88,48341,N,0,0.0,No,No
F209,Run 1,4,FERA,Yes,15.70,53248,N,0,0.0,No,No
F20,Run 1,1,FERA,No,0.22,63,P,12,38.0,No,No
F210,Run 1,4,FERA,Yes,17.40,86097,N,0,0.0,No,No
F211,Run 1,4,FERA,Yes,21.10,47416,N,0,0.0,No,No
F212,Run 1,4,FERA,Yes,2.86,159812,N,0,0.0,No,No
F213,Run 1,4,FERA,Yes,5.18,38809,N,0,0.0,No,No
F214,Run 1,4,FERA,Yes,18.40,36129,N,0,0.0,No,No
F215,Run 1,4,FERA,Yes,5.62,40744,N,0,0.0,No,No
F216,Run 1,4,FERA,Yes,18.10,50231,N,0,0.0,No,No
F217,Run 1,4,FERA,No,0.00,16,N,0,0.0,No,No
F218,Run 1,4,FERA,Yes,12.10,49295,N,0,0.0,No,No
F219,Run 1,4,FERA,Yes,7.84,46740,N,0,0.0,No,No
F21,Run 1,1,FERA,Yes,12.20,67454,P,3,40.4,No,No
F220,Run 1,4,FERA,No,0.00,206,N,0,0.0,No,No
F221,Run 1,4,FERA,Yes,1.09,18000,N,0,0.0,No,No
F222,Run 1,4,FERA,Yes,18.00,53860,N,0,0.0,No,No
F223,Run 1,4,FERA,No,0.00,27,N,0,0.0,No,No
F224,Run 1,4,FERA,Yes,12.70,60939,N,0,0.0,Yes,No
F225,Run 1,4,FERA,Yes,14.50,51796,N,0,0.0,No,No
F226,Run 1,4,FERA,Yes,12.30,78771,N,0,0.0,No,Yes
F227,Run 1,4,FERA,Yes,30.10,52840,N,0,0.0,No,No
F228,Run 1,4,FERA,Yes,0.47,9034,N,0,0.0,No,No
F229,Run 1,4,FERA,Yes,35.00,98075,N,0,0.0,No,No
F22,Run 1,1,FERA,Yes,16.80,47612,P,12,37.3,No,No
F230,Run 1,4,FERA,Yes,19.30,61251,N,0,0.0,No,No
F231,Run 1,4,FERA,Yes,37.30,80685,N,0,0.0,No,No
F232,Run 1,4,FERA,Yes,30.40,53009,N,0,0.0,No,No
F233,Run 1,4,FERA,Yes,30.70,91669,N,0,0.0,No,No
F234,Run 1,4,FERA,Yes,33.60,84395,N,0,0.0,No,No
F235,Run 1,4,FERA,Yes,30.50,76079,N,0,0.0,No,No
F236,Run 1,4,FERA,No,0.00,193,N,0,0.0,No,No
F237,Run 1,4,FERA,Yes,6.99,33407,N,0,0.0,No,No
F238,Run 1,4,FERA,No,0.00,122,N,0,0.0,No,No
F239,Run 1,4,FERA,Yes,23.20,44758,N,0,0.0,No,No
F23,Run 1,1,FERA,Yes,3.08,47782,N,1,41.6,No,No
F240,Run 1,4,FERA,Yes,5.41,36908,N,0,0.0,No,No
F241,Run 1,4,FERA,Yes,20.40,48138,N,0,0.0,No,No
F242,Run 1,4,FERA,Yes,3.16,35828,N,0,0.0,No,No
F243,Run 2,5,FERA,Yes,5.38,40360,P,4,40.5,No,No
F244,Run 2,5,FERA,Yes,0.91,17738,P,12,37.8,No,No
F245,Run 2,5,FERA,Yes,5.09,43646,P,12,36.6,No,No
F246,Run 2,5,FERA,Yes,15.30,46599,P,12,39.4,No,No
F247,Run 2,5,FERA,Yes,3.04,35425,N,1,41.1,No,No
F248,Run 2,5,FERA,Yes,20.40,47542,N,2,40.7,No,No
F249,Run 2,5,FERA,No,0.00,21,N,2,40.7,No,No
F24,Run 1,1,FERA,No,0.22,20,P,4,40.1,No,No
F250,Run 2,5,FERA,Yes,12.50,44742,P,5,42.6,No,No
F251,Run 2,5,FERA,Yes,1.26,27096,N,2,39.5,No,No
F252,Run 2,5,FERA,Yes,0.97,19308,P,12,36.9,No,No
F253,Run 2,5,FERA,Yes,3.46,43512,P,12,34.4,No,No
F254,Run 2,5,FERA,Yes,5.99,44325,P,6,39.6,No,No
F255,Run 2,5,FERA,Yes,7.01,42169,P,12,38.5,No,No
F256,Run 2,5,FERA,No,0.00,312,P,12,38.5,No,No
F257,Run 2,5,FERA,Yes,1.81,35252,N,2,41.4,No,No
F258,Run 2,5,FERA,Yes,0.16,919,P,11,41.0,No,No
F259,Run 2,5,FERA,Yes,1.79,41390,P,12,37.3,No,No
F25,Run 1,1,FERA,Yes,1.34,32713,P,12,38.2,No,No
F260,Run 2,5,FERA,Yes,3.96,35571,N,1,40.8,No,No
F261,Run 2,5,FERA,Yes,0.00,3858,P,4,41.1,No,No
F262,Run 2,5,FERA,Yes,10.20,32623,P,3,40.9,No,No
F263,Run 2,5,FERA,Yes,4.11,34667,N,1,41.6,No,No
F264,Run 2,5,FERA,Yes,34.30,61782,P,10,40.2,No,No
F265,Run 2,5,FERA,Yes,24.70,51744,P,12,37.1,No,No
F266,Run 2,5,FERA,Yes,13.00,47193,N,1,41.5,No,No
F267,Run 2,5,FERA,Yes,26.80,59531,P,11,40.3,No,No
F268,Run 2,5,FERA,No,0.00,164,P,12,35.8,No,No
F269,Run 2,5,FERA,Yes,2.02,41425,P,12,37.7,No,No
F26,Run 1,1,FERA,Yes,1.56,46295,N,1,41.7,No,No
F270,Run 2,5,FERA,Yes,7.01,38185,P,12,34.7,No,No
F271,Run 2,5,FERA,Yes,21.50,58203,P,12,36.6,No,No
F272,Run 2,5,FERA,Yes,1.31,24510,P,11,38.9,No,No
F273,Run 2,5,FERA,Yes,18.40,61423,N,2,39.8,No,No
F274,Run 2,5,FERA,Yes,11.30,44705,N,1,41.1,No,No
F275,Run 2,5,FERA,Yes,7.61,44649,P,5,40.9,No,No
F276,Run 2,5,FERA,Yes,5.00,28600,P,9,39.0,No,No
F277,Run 2,5,FERA,Yes,2.97,28006,P,9,38.6,No,No
F278,Run 2,5,FERA,Yes,11.10,64956,P,8,40.5,No,No
F279,Run 2,5,FERA,Yes,0.00,24965,N,1,50.0,No,No
F27,Run 1,1,FERA,No,0.00,203,P,12,36.6,No,No
F280,Run 2,5,FERA,Yes,31.70,944862,P,3,39.7,No,No
