sample,run,plate,type,gel_band,concentration,reads_total
P13.2,Run 2,6,Positive,Yes,5,35308
P13.3,Run 2,6,Positive,Yes,5,36125
P13.4,Run 2,6,Positive,Yes,5,39262
P13.5,Run 2,6,Positive,Yes,5,37107
P13.6,Run 2,6,Positive,Yes,5,41788
P14.1,Run 2,6,Positive,Yes,5,31969
P14.2,Run 2,6,Positive,Yes,5,43989
P14.3,Run 2,6,Positive,Yes,5,36324
P14.4,Run 2,7,Positive,Yes,5,23307
P14.5,Run 2,7,Positive,Yes,5,48196
P14.6,Run 2,7,Positive,Yes,5,50392
P15.1,Run 2,7,Positive,Yes,5,39534
P15.2,Run 2,7,Positive,Yes,5,36058
P15.3,Run 2,7,Positive,Yes,5,44189
P15.4,Run 2,7,Positive,Yes,5,45065
P15.5,Run 2,7,Positive,Yes,5,35779
P15.6,Run 2,7,Positive,Yes,5,36111
P16.1,Run 2,7,Positive,Yes,5,40077
P16.2,Run 2,7,Positive,Yes,5,26220
P16.3,Run 2,7,Positive,Yes,5,44462
P16.4,Run 2,7,Positive,Yes,5,38564
P16.5,Run 2,7,Positive,Yes,5,50266
P16.6,Run 2,7,Positive,Yes,5,35988
P17.1,Run 2,7,Positive,Yes,5,51384
P17.2,Run 2,7,Positive,Yes,5,46908
P17.3,Run 2,8,Positive,Yes,5,58808
P17.4,Run 2,8,Positive,Yes,5,50074
P17.5,Run 2,8,Positive,Yes,5,38171
P17.6,Run 2,8,Positive,Yes,5,36527
P18.1,Run 2,8,Positive,Yes,5,45207
P18.2,Run 2,8,Positive,Yes,5,41165
P18.3,Run 2,8,Positive,Yes,5,46342
P18.4,Run 2,8,Positive,Yes,5,47347
P18.5,Run 2,8,Positive,Yes,5,35653
P18.6,Run 2,8,Positive,Yes,5,36436
P19.1,Run 2,8,Positive,Yes,5,36270
P19.2,Run 2,8,Positive,Yes,5,37235
P19.3,Run 2,8,Positive,Yes,5,34732
P19.4,Run 2,8,Positive,Yes,5,40074
P19.5,Run 2,8,Positive,Yes,5,43688
P19.6,Run 2,8,Positive,Yes,5,36009
P10.4,Run 2,5,Positive,Yes,5,20017
P10.5,Run 2,5,Positive,Yes,5,39924
