sample,run,plate,type,gel_band,concentration,reads_total,conv_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation,GCNreads,mbNT_GCN
F24,Run 1,1,FERA,No,0.22,20,N,4,40.1,No,No,0,N
F250,Run 2,5,FERA,Yes,12.5,44742,N,5,42.6,No,No,0,N
F251,Run 2,5,FERA,Yes,1.26,27096,N,2,39.5,No,No,0,N
F252,Run 2,5,FERA,Yes,0.97,19308,P,12,36.9,No,No,5313,P
F253,Run 2,5,FERA,Yes,3.46,43512,N,12,34.4,No,No,19529,P
F254,Run 2,5,FERA,Yes,5.99,44325,N,6,39.6,No,No,5,P
F255,Run 2,5,FERA,Yes,7.01,42169,N,12,38.5,No,No,1684,P
F256,Run 2,5,FERA,No,0,312,N,12,38.5,No,No,8,P
F257,Run 2,5,FERA,Yes,1.81,35252,N,2,41.4,No,No,40,P
F258,Run 2,5,FERA,Yes,0.16,919,N,11,41,No,No,371,P
F259,Run 2,5,FERA,Yes,1.79,41390,P,12,37.3,No,No,9284,P
F25,Run 1,1,FERA,Yes,1.34,32713,N,12,38.2,No,No,0,N
F260,Run 2,5,FERA,Yes,3.96,35571,N,1,40.8,No,No,0,N
F261,Run 2,5,FERA,Yes,0,3858,N,4,41.1,No,No,39,P
F262,Run 2,5,FERA,Yes,10.2,32623,N,3,40.9,No,No,48,P
F263,Run 2,5,FERA,Yes,4.11,34667,N,1,41.6,No,No,5,P
F264,Run 2,5,FERA,Yes,34.3,61782,N,10,40.2,No,No,0,N
F265,Run 2,5,FERA,Yes,24.7,51744,P,12,37.1,No,No,15828,P
F266,Run 2,5,FERA,Yes,13,47193,N,1,41.5,No,No,0,N
F267,Run 2,5,FERA,Yes,26.8,59531,P,11,40.3,No,No,34,P
F268,Run 2,5,FERA,No,0,164,N,12,35.8,No,No,6,P
F269,Run 2,5,FERA,Yes,2.02,41425,P,12,37.7,No,No,14121,P
F26,Run 1,1,FERA,Yes,1.56,46295,N,1,41.7,No,No,0,N
F270,Run 2,5,FERA,Yes,7.01,38185,N,12,34.7,No,No,9092,P
F271,Run 2,5,FERA,Yes,21.5,58203,P,12,36.6,No,No,29109,P
F272,Run 2,5,FERA,Yes,1.31,24510,N,11,38.9,No,No,496,P
F273,Run 2,5,FERA,Yes,18.4,61423,N,2,39.8,No,No,6,P
F274,Run 2,5,FERA,Yes,11.3,44705,N,1,41.1,No,No,0,N
F275,Run 2,5,FERA,Yes,7.61,44649,N,5,40.9,No,No,1881,P
F276,Run 2,5,FERA,Yes,5,28600,N,9,39,No,No,1176,P
F277,Run 2,5,FERA,Yes,2.97,28006,N,9,38.6,No,No,0,N
F278,Run 2,5,FERA,Yes,11.1,64956,N,8,40.5,No,No,3051,P
F279,Run 2,5,FERA,Yes,0,24965,N,1,50,No,No,6,P
F27,Run 1,1,FERA,No,0,203,P,12,36.6,No,No,0,N
F280,Run 2,5,FERA,Yes,31.7,944862,P,3,39.7,No,No,2114,P
F281,Run 2,5,FERA,Yes,0,58619,P,4,41.2,No,No,0,N
F282,Run 2,5,FERA,Yes,29.3,100248,N,12,34.5,No,No,8175,P
F283,Run 2,5,FERA,Yes,4.72,64652,N,1,39.4,No,No,5,P
F284,Run 2,5,FERA,Yes,2.81,68216,P,9,40.8,No,No,603,P
F285,Run 2,5,FERA,Yes,22,30908,N,11,39.6,No,No,22,P
F286,Run 2,5,FERA,Yes,0.6,45149,P,12,38.3,No,No,7181,P
F287,Run 2,5,FERA,Yes,0,36790,N,1,41.9,No,No,0,N
F288,Run 2,5,FERA,No,0,6,N,11,38.6,No,No,0,N
F289,Run 2,5,FERA,Yes,7.26,52318,P,12,37.3,No,No,1807,P
F28,Run 1,1,FERA,Yes,1.25,33120,N,5,43.5,No,No,3786,P
F290,Run 2,5,FERA,No,0,7,N,1,41.7,No,No,0,N
F291,Run 2,5,FERA,Yes,0,22818,N,12,36.7,No,No,8985,P
F292,Run 2,5,FERA,Yes,1.47,68967,N,2,40.7,No,No,2714,P
F293,Run 2,5,FERA,Yes,9.97,53634,N,1,40.7,No,No,5,P
F294,Run 2,5,FERA,Yes,1.67,68090,N,12,40.8,No,No,6,P
F295,Run 2,5,FERA,No,0,44,N,1,42.4,No,No,0,N
F296,Run 2,5,FERA,Yes,1.53,114189,N,4,41.8,No,No,8,P
F297,Run 2,5,FERA,Yes,1.9,78013,N,5,42.1,No,No,1957,P
F298,Run 2,5,FERA,No,0,50,N,12,39.1,No,No,6,P
F299,Run 2,5,FERA,No,0,74,N,3,41.5,No,No,0,N
F29,Run 1,1,FERA,Yes,3.4,46628,N,12,37.1,No,No,14272,P
F2,Run 1,1,FERA,Yes,3.92,56858,N,3,41.1,No,No,0,N
F300,Run 2,5,FERA,No,0,49,N,2,41.6,No,No,5,P
F301,Run 2,5,FERA,Yes,9.62,20520,N,1,42.7,No,No,6,P
F302,Run 2,5,FERA,Yes,5.07,128053,N,7,41.9,No,No,0,N
F303,Run 2,5,FERA,No,0,107,N,5,41.7,No,No,10,P
F304,Run 2,5,FERA,Yes,0,20576,N,6,41.6,No,No,2732,P
F305,Run 2,5,FERA,Yes,7.39,62619,P,12,38,No,No,7671,P
F306,Run 2,5,FERA,No,0,12,N,12,39.2,No,No,0,N
F307,Run 2,5,FERA,Yes,0,700,P,12,35.4,No,No,495,P
F308,Run 2,5,FERA,Yes,8.75,78403,N,12,31.5,No,No,47708,P
F309,Run 2,5,FERA,Yes,0,9927,N,8,40.9,No,No,2391,P
F30,Run 1,1,FERA,Yes,6.08,62658,N,12,37,No,No,4025,P
F310,Run 2,5,FERA,Yes,0,16284,N,9,40.6,No,No,11139,P
F311,Run 2,5,FERA,Yes,1.72,90806,N,4,40.7,No,No,0,N
F312,Run 2,5,FERA,Yes,2.2,68412,N,9,40.7,No,No,2694,P
F313,Run 2,5,FERA,No,0,10,N,3,42.2,No,No,0,N
F314,Run 2,5,FERA,Yes,2.41,63645,N,3,41,No,No,0,N
F315,Run 2,5,FERA,Yes,3.95,85566,N,12,38.8,No,No,852,P
F316,Run 2,5,FERA,Yes,0,26005,N,2,40,No,No,0,N
F317,Run 2,5,FERA,Yes,0,22046,N,2,41,No,No,18,P
F318,Run 2,5,FERA,Yes,0.96,36967,N,5,40.4,No,No,7716,P
F319,Run 2,5,FERA,No,0,44,N,6,39.4,No,No,0,N
F31,Run 1,1,FERA,Yes,17.1,59580,N,12,34.9,No,No,11260,P
F320,Run 2,6,FERA,Yes,1.39,42647,N,9,41.1,No,No,7786,P
F321,Run 2,6,FERA,Yes,0,0,P,12,36.9,No,No,0,N
F322,Run 2,6,FERA,Yes,0.63,15591,N,5,40.5,No,No,0,N
F323,Run 2,6,FERA,Yes,9.73,56972,P,12,36.7,No,No,8134,P
F324,Run 2,6,FERA,No,0,20,N,3,40.4,No,No,0,N
F325,Run 2,6,FERA,Yes,2.77,45550,N,1,40.5,No,No,0,N
F326,Run 2,6,FERA,Yes,18.2,57206,N,1,41.9,No,No,0,N
F327,Run 2,6,FERA,No,0,28,N,5,41.6,No,No,0,N
F328,Run 2,6,FERA,Yes,2.78,53621,P,10,40.5,No,No,1443,P
F329,Run 2,6,FERA,Yes,5.26,50126,N,4,41.2,No,No,0,N
F32,Run 1,1,FERA,Yes,6.23,58041,N,10,38.6,No,No,1707,P
F330,Run 2,6,FERA,Yes,1.37,46344,N,9,39.9,No,No,7801,P
F331,Run 2,6,FERA,Yes,0.83,26400,N,4,40.6,No,No,0,N
F332,Run 2,6,FERA,Yes,8.25,69529,N,12,35.6,No,No,21650,P
F333,Run 2,6,FERA,Yes,10.9,66882,N,11,38.9,No,No,2857,P
F334,Run 2,6,FERA,Yes,4.78,55420,P,12,35.5,No,No,25836,P
F335,Run 2,6,FERA,Yes,3.86,44228,P,2,40.1,No,No,0,N
F336,Run 2,6,FERA,Yes,15.7,48590,N,11,39.3,No,No,190,P
F337,Run 2,6,FERA,Yes,0.74,26813,P,12,36.6,No,No,3164,P
F338,Run 2,6,FERA,Yes,2.62,42598,N,1,40,No,No,0,N
F339,Run 2,6,FERA,No,0,38,N,3,41.4,No,No,5,P
F33,Run 1,1,FERA,Yes,2.7,51834,N,1,39.5,No,No,0,N
F340,Run 2,6,FERA,Yes,1.45,31624,N,2,40.6,No,No,0,N
F341,Run 2,6,FERA,Yes,9.18,40359,N,12,38,No,No,2457,P
F342,Run 2,6,FERA,Yes,12.6,42776,P,12,35.3,No,No,12966,P
F343,Run 2,6,FERA,Yes,9.8,40301,N,5,40.5,No,No,0,N
F344,Run 2,6,FERA,Yes,5.49,35722,P,12,36.6,No,No,8343,P
F345,Run 2,6,FERA,Yes,7.3,39095,N,6,40.3,No,No,0,N
F346,Run 2,6,FERA,Yes,15.5,43347,N,1,41,No,No,3075,P
F347,Run 2,6,FERA,Yes,4.34,36104,P,12,35.7,No,No,5515,P
F348,Run 2,6,FERA,Yes,3.43,38465,N,12,37.7,No,No,1888,P
F349,Run 2,6,FERA,Yes,12.6,52055,N,12,32.3,No,No,28195,P
F34,Run 1,1,FERA,Yes,12.3,52376,N,12,35.6,No,No,10545,P
F350,Run 2,6,FERA,Yes,6.22,48036,P,12,35.6,No,No,3870,P
F351,Run 2,6,FERA,Yes,2.57,39901,P,2,40.6,No,No,0,N
F352,Run 2,6,FERA,Yes,14.8,48359,N,7,40.6,No,No,8,P
F353,Run 2,6,FERA,Yes,3.92,38613,N,8,39.5,No,No,4238,P
F354,Run 2,6,FERA,Yes,2.84,40211,N,6,40,No,No,666,P
F355,Run 2,6,FERA,Yes,3.41,41365,P,1,40.8,No,No,0,N
F356,Run 2,6,FERA,Yes,2.46,43213,N,9,38.9,No,No,5427,P
F357,Run 2,6,FERA,Yes,2.01,39906,N,1,40.9,No,No,0,N
F358,Run 2,6,FERA,No,0,9,N,8,41.2,No,No,0,N
F359,Run 2,6,FERA,No,0,68,N,12,38.9,No,No,0,N
F35,Run 1,1,FERA,Yes,1.63,130187,N,9,39.4,No,No,6607,P
F360,Run 2,6,FERA,Yes,3.27,16251,N,5,40.4,No,No,585,P
F361,Run 2,6,FERA,Yes,0.56,15601,N,3,40.7,No,No,0,N
F362,Run 2,6,FERA,Yes,5.34,46391,N,5,40.5,No,No,385,P
