KF938341.1,9940
KM338153.1,77133
AP002944.1,69293
294679577,9902
689937622,51028
291002173,8128
50301805,9615
334087001,50613
91717359,236538
936230628,9606
KU644665.1,9612
223009332,9606
AB445130.1,134920
1028335705,9615
356467060,9606
936230992,9606
KT309044.1,1732171
1008294046,77133
KU523266.1,9606
968196441,291825
AC201862.3,9598
91717355,52619
1024389580,1842464
KX211954.1,37012
1021482735,1840161
KP943133.1,8845
662034240,9913
1010923220,1028180
582054437,166587
JQ622011.1,9940
536189563,9606
1028326924,9615
936230530,9606
1021482739,1840103
943823563,77133
LC062079.1,10090
1022949502,9606
EU880316.1,30375
556713673,9606
AY164524.1,8845
675818962,562
823651873,77133
1022950216,9606
189342999,8855
1028335649,9615
260586959,155900
476003955,77133
346227424,9597
KT726141.1,9606
936230754,9606
699128880,62062
5738210,75837
HM598153.1,77133
625293852,143315
1022950524,9606
295809443,9606
291002229,47969
HM063551.1,75875
HQ711552.1,189295
1028326938,9615
914343420,9606
1022947461,9606
724118293,77133
148466976,135634
1021482740,1437314
148466970,372313
440853424,1211
1050768767,9612
LC062068.1,10090
924899628,77133
KT726151.1,9606
1028335803,9615
KT221043.1,106582
HM063545.1,45644
1022950454,9606
381263003,9606
301031210,194544
301031211,194544
395806648,749190
1022950328,9606
77176536,30334
301031218,194544
301031219,194544
606227157,9606
KF302458.1,9940
675819491,562
AY850299.1,77133
669034406,13095
281188589,9597
846553434,77133
662036138,219593
KF302460.1,9940
747174743,77133
906345784,9925
KF540712.1,9606
939710435,75838
194303819,8049
333595320,77133
KU211647.1,8845
KU644668.1,9612
AY255156.1,9606
668349810,8932
HQ711550.1,608507
HM063558.1,8869
952009804,1753971
GU220211.1,194544
1042266423,756884
KU291072.1,9615
KU056478.1,120215
224038987,1826778
HE576980.1,9606
84468570,335090
1028335579,9615
392464116,77133
84468574,335094
84468575,335095
1028327092,9615
JN191206.1,37011
927682855,1075431
AC008580.7,9606
345499066,9606
513045316,635157
846523933,77133
507474041,75839
KJ446609.1,9606
988043158,1480064
751371229,85066
906345364,9925
556712413,9606
1042266339,9597
906345490,9925
42491760,8319
KJ014395.1,77133
37359600,372311
223014652,9606
DQ158449.1,30329
946518738,9913
202073250,77133
717468411,77133
KF302456.1,9940
1043092383,37011
FJ710924.1,7962
HQ012143.1,9606
556571721,554455
380703433,84645
1005816818,1672192
KU308542.1,37011
513791959,9606
KP238480.1,8845
583829080,9940
KU521422.1,9606
KM999224.1,1592896
295641327,9606
583829318,9940
KF302452.1,9940
317423506,81636
189484401,164279
LC062084.1,10090
HQ711548.1,608507
213136095,30376
KU291070.1,9615
846388249,10090
KU291068.1,9615
239997777,8932
KU521415.1,9606
701165809,756884
51011722,8127
846388244,10090
576095793,1414750
358726939,547489
AC138772.4,9606
846388111,10090
KT749794.1,9606
478445379,1237181
846388115,10090
KJ154898.1,9606
15638907,9606
724101925,77133
KM102013.1,9606
478445373,1316732
946519776,9606
253971015,120858
AY680236.1,47553
459926856,263550
18033995,29911
AC131055.10,9606
378968434,59861
817597733,219595
AY164529.1,8880
333945396,9615
364601445,155900
GU947006.1,9901
HM753692.1,10847
1028330770,9615
350995244,9597
KT892947.1,9606
124106371,77133
17530693,9606
HM063546.1,75871
KM313899.1,77133
317423478,8060
LM996658.1,562
304442374,10847
GU947004.1,9901
1043092397,37011
220938090,77133
675023238,8839
EF532246.1,47553
FJ882808.1,61428
255365973,9606
1008808246,1817992
1028332601,9615
906357968,643384
336089050,1045278
AB303363.1,8387
926460032,494514
669034252,13095
1051609116,9606
AY164517.1,75854
194303763,8049
1028331358,9615
724119560,77133
158935691,8855
158935690,127946
992321756,13095
992321751,8128
606225379,9606
145208485,69298
992321752,8130
659223642,64547
659223643,64547
659223641,64547
532694967,75839
JN191234.1,37012
27463525,213853
KF540729.1,9606
555292379,9606
KT726094.1,9606
146335938,9598
KF359840.1,64547
JN695748.1,8843
KJ154896.1,9606
647737349,9615
KM233417.1,72004
1042265564,9606
AP008639.1,9606
312270514,77133
115394110,77133
528748698,9940
936230502,9606
KF673863.1,291815
2739349,9606
NG_011805.1,9606
KT749798.1,9606
699128162,1564001
298539971,77133
298539970,77133
614530219,9606
346227606,37011
689629758,6186
972385503,1042256
KU291092.1,9615
163845591,9598
553831960,8832
724103293,77133
KJ154913.1,9606
HQ711546.1,489831
339896041,9606
20978140,164851
AC021451.8,9606
KU521425.1,9606
JF894132.1,50613
KM326844.1,77133
KT316292.1,263525
576106911,8957
984684431,37012
KP981364.1,8869
347802681,66440
