"sample","run","plate","type","gel_band","concentration","reads_total","conv_P.N","qPCR_score","average_Ct","qPCR_inhibition","qPCR_degradation","GCNreads","mbNT_GCN","qPCR_thresh1","qPCR_thresh4","Anas_carolinensis","Anguilla_anguilla","Ardea_cinerea","Arvicola_amphibius","Barbatula_barbatula","Barbus_barbus","Bos_taurus","Bufo_bufo","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_carduelis","Cervus_elaphus","Clupea_harengus","Cottus_gobio","Cyprinus_carpio","Dendrocopos_major","Equus_caballus","Esox_lucius","Felis_catus","Fulica_atra","Gallinula_chloropus","Garrulus_glandarius","Gasterosteus_aculeatus","Gymnocephalus_cernua","Haematopus_ostralegus","Hippolais_polyglotta","Homo_sapiens","Lepus_europaeus","Lissotriton_helveticus","Lissotriton_vulgaris","Lutra_lutra","Meleagris_gallopavo","Meles_meles","Muntiacus_reevesi","Mus_musculus","Mustela_putorius","Myodes_glareolus","Neomys_fodiens","Numida_meleagris","Oncorhynchus_mykiss","Oryctolagus_cuniculus","Ovis_aries","Pelophylax_ridibundus","Phasianus_colchicus","Phoxinus_phoxinus","Picus_viridis","Pipistrellus_pipistrellus","Prunella_modularis","Pungitius_pungitius","Rana_temporaria","Rattus_norvegicus","Rhamphochromis_esox","Rutilus_rutilus","Sciurus_carolinensis","Sitta_europaea","Sorex_araneus","Squalius_cephalus","Strix_aluco","Sturnus_vulgaris","Sus_scrofa","Triturus_cristatus","Vulpes_vulpes","mbTA_GCN"
"F108","Run 1",2,"FERA","Yes",12.9,36264,"N",2,39.5,"No","No",256,"P","P","N",0,0,0,10257,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,3643,267,0,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,256,0,"P"
"F109","Run 1",2,"FERA","No",0.16,24,"N",8,40.6,"No","No",0,"N","P","P",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"N"
"F11","Run 1",1,"FERA","Yes",4.31,29086,"P",3,40.3,"No","No",0,"N","P","N",0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,537,0,0,0,0,0,16016,0,0,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,322,0,0,155,0,0,"N"
"F110","Run 1",2,"FERA","Yes",1.98,41397,"N",8,40.6,"No","No",3059,"P","P","P",0,0,0,0,0,0,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,2964,0,0,0,0,0,0,16361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1138,3059,0,"P"
"F111","Run 1",2,"FERA","Yes",16.6,48207,"N",8,39,"No","No",0,"N","P","P",0,0,0,0,0,0,1429,0,0,10833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5431,0,0,"N"
"F112","Run 1",2,"FERA","Yes",8.93,47851,"N",12,36.2,"No","No",5721,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28246,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5721,0,"P"
"F113","Run 1",2,"FERA","Yes",8.56,47088,"N",2,41.7,"No","No",0,"N","P","N",0,321,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9783,0,0,0,0,0,0,0,0,1973,0,588,0,0,0,0,0,0,0,0,0,"N"
"F114","Run 1",2,"FERA","Yes",6.87,48399,"P",12,38.4,"No","No",7647,"P","P","P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,1356,0,0,0,0,0,0,0,7647,0,"P"
"F115","Run 1",2,"FERA","Yes",12.8,44418,"N",2,40.3,"No","No",0,"N","P","N",0,0,0,0,0,0,36223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,485,63,0,280,0,0,0,0,0,0,0,0,"N"
"F116","Run 1",2,"FERA","Yes",1.58,28370,"N",11,40.5,"No","No",1874,"P","P","P",0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7857,0,0,6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,2118,0,0,0,0,0,0,0,1874,0,"P"
