"sample","run","plate","type","gel_band","concentration","reads_total","conv_P.N","qPCR_score","average_Ct","qPCR_inhibition","qPCR_degradation","GCNreads","mbNT_GCN","Anas_carolinensis","Anguilla_anguilla","Ardea_cinerea","Arvicola_amphibius","Barbatula_barbatula","Barbus_barbus","Bos_taurus","Bufo_bufo","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_carduelis","Cervus_elaphus","Clupea_harengus","Cottus_gobio","Cyprinus_carpio","Dendrocopos_major","Equus_caballus","Esox_lucius","Felis_catus","Fulica_atra","Gallinula_chloropus","Garrulus_glandarius","Gasterosteus_aculeatus","Gymnocephalus_cernua","Haematopus_ostralegus","Hippolais_polyglotta","Homo_sapiens","Lepus_europaeus","Lissotriton_helveticus","Lissotriton_vulgaris","Lutra_lutra","Meleagris_gallopavo","Meles_meles","Muntiacus_reevesi","Mus_musculus","Mustela_putorius","Myodes_glareolus","Neomys_fodiens","Numida_meleagris","Oncorhynchus_mykiss","Oryctolagus_cuniculus","Ovis_aries","Pelophylax_ridibundus","Phasianus_colchicus","Phoxinus_phoxinus","Picus_viridis","Pipistrellus_pipistrellus","Prunella_modularis","Pungitius_pungitius","Rana_temporaria","Rattus_norvegicus","Rutilus_rutilus","Sciurus_carolinensis","Sitta_europaea","Sorex_araneus","Squalius_cephalus","Strix_aluco","Sturnus_vulgaris","Sus_scrofa","Triturus_cristatus","Vulpes_vulpes"
"F140","Run 1",3,"FERA","Yes",31.5,72,"P",2,40.6,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F141","Run 1",3,"FERA","Yes",9.7,63,"N",1,39.6,"No","No",0,"N",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"F142","Run 1",3,"FERA","No",0,158,"N",12,36.8,"No","No",6,"P",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"F143","Run 1",3,"FERA","Yes",27.2,49302,"N",7,40,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F144","Run 1",3,"FERA","Yes",16.3,50101,"N",3,39.9,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"F145","Run 1",3,"FERA","Yes",23.6,62881,"P",12,37.3,"No","No",5739,"P",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"F146","Run 1",3,"FERA","Yes",1.63,46760,"N",1,39.4,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"F147","Run 1",3,"FERA","Yes",14.9,56488,"P",12,37.5,"No","No",3191,"P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"F148","Run 1",3,"FERA","Yes",6.33,42051,"N",9,40.3,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"F149","Run 1",3,"FERA","Yes",10.3,61509,"P",12,35.6,"No","No",45363,"P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"F15","Run 1",1,"FERA","Yes",4.06,42761,"N",12,36.3,"No","No",35611,"P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"F150","Run 1",3,"FERA","Yes",16.4,64988,"N",1,41.3,"No","No",0,"N",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"F151","Run 1",3,"FERA","Yes",3.94,48243,"N",2,40.7,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"F152","Run 1",3,"FERA","Yes",6.9,43329,"N",5,40.4,"No","No",814,"P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"F153","Run 1",3,"FERA","No",0,17,"N",12,35.4,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F154","Run 1",3,"FERA","Yes",2.43,39901,"P",1,40.6,"No","No",0,"N",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"F155","Run 1",3,"FERA","Yes",1.91,30655,"N",2,40.8,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F156","Run 1",3,"FERA","Yes",2.69,44910,"N",8,40.9,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"F157","Run 1",3,"FERA","Yes",17.8,50174,"P",12,36.8,"No","No",20852,"P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"F158","Run 1",3,"FERA","Yes",25.8,41269,"N",3,41.1,"No","No",72,"P",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"F159","Run 1",3,"FERA","Yes",2.56,38539,"N",1,40.2,"No","No",0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F16","Run 1",1,"FERA","Yes",7.31,52444,"N",1,40.7,"No","No",14,"P",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F160","Run 1",3,"FERA","Yes",12.3,56048,"N",11,39.1,"No","No",3284,"P",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
