SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F254	12S	SRR6285591	SAMN08011761	PRJNA417951
F255	12S	SRR6285590	SAMN08011762	PRJNA417951
F256	12S	SRR6285593	SAMN08011763	PRJNA417951
F257	12S	SRR6285592	SAMN08011764	PRJNA417951
F258	12S	SRR6285595	SAMN08011765	PRJNA417951
F259	12S	SRR6285594	SAMN08011766	PRJNA417951
F26	12S	SRR6285597	SAMN08011767	PRJNA417951
F260	12S	SRR6285596	SAMN08011768	PRJNA417951
F261	12S	SRR6285438	SAMN08011769	PRJNA417951
F262	12S	SRR6285439	SAMN08011770	PRJNA417951
F263	12S	SRR6285440	SAMN08011771	PRJNA417951
F264	12S	SRR6285441	SAMN08011772	PRJNA417951
F265	12S	SRR6285434	SAMN08011773	PRJNA417951
F266	12S	SRR6285435	SAMN08011774	PRJNA417951
F267	12S	SRR6285436	SAMN08011775	PRJNA417951
F268	12S	SRR6285437	SAMN08011776	PRJNA417951
F269	12S	SRR6285430	SAMN08011777	PRJNA417951
F27	12S	SRR6285431	SAMN08011778	PRJNA417951
F270	12S	SRR6285959	SAMN08011779	PRJNA417951
F271	12S	SRR6286020	SAMN08011780	PRJNA417951
F272	12S	SRR6286019	SAMN08011781	PRJNA417951
F273	12S	SRR6286017	SAMN08011782	PRJNA417951
F274	12S	SRR6285963	SAMN08011783	PRJNA417951
F275	12S	SRR6285962	SAMN08011784	PRJNA417951
F276	12S	SRR6285961	SAMN08011785	PRJNA417951
F277	12S	SRR6285960	SAMN08011786	PRJNA417951
F278	12S	SRR6286010	SAMN08011787	PRJNA417951
F279	12S	SRR6286009	SAMN08011788	PRJNA417951
F28	12S	SRR6285759	SAMN08011789	PRJNA417951
F280	12S	SRR6285758	SAMN08011790	PRJNA417951
F281	12S	SRR6285757	SAMN08011791	PRJNA417951
F282	12S	SRR6285756	SAMN08011792	PRJNA417951
F283	12S	SRR6285755	SAMN08011793	PRJNA417951
F284	12S	SRR6285754	SAMN08011794	PRJNA417951
F285	12S	SRR6285753	SAMN08011795	PRJNA417951
F286	12S	SRR6285752	SAMN08011796	PRJNA417951
